"","logFC","logCPM","PValue","FDR"
"Q9QXH4",-3.20574258343682,1.18208975782901,5.9584733464612e-11,1.2692144075297e-06
"P01029",-2.29005105235895,7.12524824544955,3.50705008744064e-10,3.73518369562866e-06
"G3X8T9",-2.15501185122512,5.95679235563769,8.20406871200285e-10,5.82516225447909e-06
"Q99P91",-2.37117235237733,1.55117804919207,1.18452312492295e-08,5.86133494182773e-05
"Q99N08",-1.78777597270501,1.42607301746708,1.37583562786436e-08,5.86133494182773e-05
"ENSMUST00000195589.6",-2.31302359486372,2.54711808416982,4.34776601070863e-08,0.000154352939656841
"Q9Z0I6",-1.38518789443413,3.08198187702049,9.40723943285778e-08,0.000286262295941862
"G3X8Y8",-1.33710596796411,2.79746650424751,1.44189437899209e-07,0.00038392240208638
"O89098",-3.24652453243809,1.3430770914365,1.67605725447615e-07,0.00039668550641774
"O55188",-1.38698306149465,4.39253004140561,2.94815205437033e-07,0.000627985869101424
"ENSMUST00000113886.3",-1.8526033475319,2.77846636213112,3.85918721931518e-07,0.000747314063260297
"Q8BRK9",-1.90321700411338,1.07717011309116,6.59343824244516e-07,0.0011703902333527
"Q9ERK0",-1.55875969693198,1.83700025715734,1.19180021144054e-06,0.00195281048491499
"ENSMUST00000178343.2",-1.48417591139604,6.2160152073383,1.55562839057883e-06,0.00236688859626569
"Q3TXX4",-1.5600367961467,4.45745316203246,1.80343272223428e-06,0.00256099469442083
"P03995",-1.47888075969021,9.62376132375455,2.09465067383598e-06,0.00266888538581159
"P01027",-2.42559625611608,2.54490915755986,2.1299963174873e-06,0.00266888538581159
"Q61093",-1.92273550653121,2.76119852592932,2.82187121009939e-06,0.00328094528704524
"ENSMUST00000194486.2",-1.73856220663438,1.58433318558232,3.06459211224958e-06,0.00328094528704524
"Q64282",-1.33945128369641,3.71825939943352,3.23014529762755e-06,0.00328094528704524
"H3BIY2",-1.98134096736979,0.987278725297852,3.234582931691e-06,0.00328094528704524
"Q91VU8",-1.30565906739013,3.19547658638733,4.65959419147632e-06,0.00451154617602896
"ENSMUST00000133492.2",-1.82409298127639,1.13287695828873,8.81086692706041e-06,0.00791407874934821
"Q91Y82",-1.39593836673221,2.59542445703566,8.91685319864593e-06,0.00791407874934821
"Q5U4D4",-1.57832323732971,0.849716206803695,9.29545329669823e-06,0.00792009802691876
"Q9EP66",-2.41687374433821,0.178541081815802,1.24033444482706e-05,0.0101616784651005
"ENSMUST00000173669.2",-2.1242536144947,1.00732504220023,1.43943067808628e-05,0.0111270354368663
"Q9WTV6",-1.36372728077186,1.42828142555261,1.46264021516482e-05,0.0111270354368663
"A0A0B4J1E6",-1.51959687317685,1.03166850592199,1.63126168430344e-05,0.0119818983232233
"Q91ZE5",-1.97683634926863,0.675057673380341,1.99189671295383e-05,0.0141431306275432
"ENSMUST00000202926.2",-1.16287947909114,2.02712531470048,2.15601637205651e-05,0.0148146144326373
"Q61635",-1.90758959770974,1.4313692528258,2.36981787597707e-05,0.0156330667490375
"Q5QNW0",-2.01132473143301,0.890288322218623,2.49457464855174e-05,0.0156330667490375
"ENSMUST00000134066.8",1.48438342740718,0.8019237295259,2.49530195515363e-05,0.0156330667490375
"Q9Z0F5",-1.56652410241863,1.41610314772954,2.71052297909368e-05,0.0164962428507641
"P0DOV2",-1.63865521436362,1.36711512599388,3.00326176732349e-05,0.0177701330293771
"ENSMUST00020182536.1",1.70267640417175,1.06747609882745,3.49169358295191e-05,0.020101774327151
"Q8C8C1",-2.49586712878742,1.64637637660517,4.06327080456356e-05,0.0227767714231601
"A0A0R4J0Y2",-1.6135015775186,0.601241393814663,6.01450701504014e-05,0.0328500035711205
"Q5SSF7",-1.14269652472035,3.75725114374339,6.40012363972638e-05,0.0340822584124529
"P32299",-1.42311453020452,2.50295418891342,6.96113346599163e-05,0.0361656351119726
"P53566",-1.21552633571132,1.56038267078209,8.29054379816683e-05,0.0420468746297028
"Q9QZ85",-1.86762991200186,3.99882059205162,9.06499140896455e-05,0.0445764141727467
"E9Q3K3",-1.13201044622246,3.13864436840392,9.20784105723137e-05,0.0445764141727467
"P08905",-1.1775511443182,5.93615003994055,9.75737473125029e-05,0.0461870753667472
"G3X8V6",-1.32493183746423,2.25747158595831,0.000107251208135265,0.0496643040106366
"Q811B5",-1.0284462422273,2.8767508938322,0.000119508603515261,0.0523561816660104
"ENSMUST00000123117.2",-1.12460282234314,3.10307815864914,0.00011955664186734,0.0523561816660104
"ENSMUST00000233162.2",-1.73000214390759,1.1252412280633,0.000120438143825854,0.0523561816660104
"E9QN37",-1.00244039218521,6.84889048891307,0.000146134028385382,0.0622560187727406
"ENSMUST00000221571.2",-1.65562640905609,0.706504038539743,0.000153427568113687,0.0625741084840708
"Q925G2",-1.09200937796381,2.6509501792145,0.000154223687977427,0.0625741084840708
"Q60766",-1.11300470712799,4.99974460393585,0.000155693523762065,0.0625741084840708
"ENSMUST00000186665.7",1.13654433159898,1.78623880342937,0.000192572821635652,0.0759628458085373
"P97297",-1.22576137036137,2.19884881547343,0.000206088398014856,0.0798161630202628
"ENSMUST00000217981.2",1.17906599448341,1.6787459014865,0.00022893673303887,0.08708180982966
"Q8C253",-1.75755377967567,1.61003250849106,0.000239214772778823,0.0891161874886121
"Q9D035",-1.56843085429794,0.479604397919052,0.000242652404785667,0.0891161874886121
"ENSMUST00000191135.2",-1.47788053110443,0.645204461341537,0.000277441112490611,0.100165646392585
"Q64345",-1.00684961374096,4.54111238419157,0.000289707681465152,0.101663848027685
"Q3UHH2",-1.2226401566046,2.35423505396709,0.00029113631893755,0.101663848027685
"P47936",-1.69142598728596,0.40683437911031,0.000296230543740975,0.101774303423008
"Q9D3P9",1.33647995111946,4.75760098206804,0.000309780025431893,0.104740068598806
"Q3UED7",-2.05488908456851,1.83145928824143,0.000348217707983903,0.11589664684008
"A2A8R0",-1.04529093749777,1.77529302553107,0.000355611993209743,0.116536785651703
"Q8K2F3",-1.71395269726311,1.92746339646567,0.000380019667044645,0.122648468601788
"P48754",1.19015767129564,1.70415049901148,0.000409526902127322,0.130198993167374
"Q9Z0E6",-1.76282784488101,3.73263549825508,0.000452657373943391,0.141794922387767
"Q9Z103",-1.51472496019952,0.885595097316895,0.000467977048854102,0.143416224710805
"ENSMUST00000216718.2",-1.81352878279871,0.173199572304069,0.000471298799575435,0.143416224710805
"ENSMUST00000210140.2",-1.16807640982034,1.54940941682094,0.000486202791071394,0.145867685248053
"Q61107",-1.35992469586046,4.37663637029788,0.000520870130756919,0.15409798132296
"Q544C5",-1.82523958360736,0.614003130424625,0.000547825531084624,0.158873242732634
"Q5XKE0",-1.0866823815444,1.69294739571681,0.000551928076720104,0.158873242732634
"F6SS74",-1.00775581976021,1.46563897987638,0.000561906096993461,0.159588823627436
"Q3U8M7",-1.27741415562641,3.13153584655142,0.000572234446272143,0.160202432613888
"Q2EMV9",-1.18346752550213,3.9194433557928,0.000581202766606187,0.160202432613888
"ENSMUST00000130794.2",-1.3924756020503,0.848737114456618,0.000586629254207936,0.160202432613888
"Q5U7A4",-0.906947965124846,3.30307246709572,0.000610974020796057,0.164738704012365
"A0A494BAD9",-1.71237389188741,0.509965760370583,0.000623498840408259,0.166014359994204
"ENSMUST00000180445.3",-1.55965645823761,0.318792947711354,0.000654722608658647,0.170809429071683
"Q8R2Q8",-1.00854875747437,1.92511173213157,0.000657823022962341,0.170809429071683
"ENSMUST00000152360.2",-1.27020237427984,0.655655103263968,0.00066556418069338,0.170809429071683
"ENSMUST00000135352.2",-1.09329468020402,1.04669261146655,0.000703342270906483,0.178331079994828
"Q9CQC7",1.29475683027942,1.04759578427122,0.000719340935999649,0.178331079994828
"ENSMUST00000184437.3",-1.21885075688726,2.82500332715813,0.000719988398645848,0.178331079994828
"ENSMUST00000229410.2",-1.48432634267992,0.817970983224735,0.000747147657150745,0.18293094534446
"O35457",-1.25893703598123,0.702429171389277,0.000810224905290599,0.194274590965129
"A0A0R4J1Z2",1.65887031165515,0.247916377296413,0.00081188510911711,0.194274590965129
"ENSMUST00000057889.8",-1.34945957636478,0.503535985768175,0.00082084001628382,0.194274590965129
"P60322",-1.03337654144738,1.94468880757272,0.00085831812960592,0.200912466799293
"ENSMUST00000098653.3",-0.89432108951888,2.51541141756742,0.00091062653267417,0.210114990500825
"ENSMUST00000227933.2",0.977860586092908,1.52547335610852,0.000917360411087588,0.210114990500825
"A0A338P6Q3",1.19114418719489,1.53722535391885,0.000944941707854375,0.214129822542617
"ENSMUST00000189941.2",3.29583090111393,4.72876513696027,0.000967124105055999,0.21684958486103
"D3YYE1",1.16509599919146,0.769253700095405,0.00100887873962637,0.218211628196952
"Q3TB82",-0.822616602383294,3.91122165464387,0.0010171556005594,0.218211628196952
"P06880",-8.195888002538,8.678535231267,0.00101895553078956,0.218211628196952
"ENSMUST00000244716.1",1.44997522438806,0.589201183054007,0.00102271970762891,0.218211628196952
"G3X9K7",-1.56665655053647,1.37349414312211,0.00102581667980162,0.218211628196952
"ENSMUST00000243469.1",1.27178246029641,0.673427421522833,0.00103466383962688,0.218211628196952
"Q8VHX6",-1.26695268311594,3.14187340647035,0.00112554599023606,0.235051520960963
"Q9Z2U4",-0.987020844129406,2.61688187210956,0.00114105230308511,0.235976263184622
"F7BWM9",-0.874404884185996,3.90480509424637,0.00119775141762376,0.245320220642344
"ENSMUST00000156773.2",0.816876935836953,2.7079732077976,0.00121228758535021,0.24593274148138
"ENSMUST00000209242.2",1.16111677594508,0.822919374046679,0.00126250908933707,0.253704774641216
"ENSMUST00000144016.8",-0.798118223684946,4.72365569133617,0.00130893020695654,0.260574975125058
"ENSMUST00000173975.2",-1.63285643761583,0.826936757846926,0.0013672037793965,0.269655626897452
"A0A494BBA3",-1.50755175481904,1.11296094473184,0.00140520601519578,0.274608195685186
"ENSMUST00000230694.2",1.07833025683239,0.866632162450564,0.00143753004457382,0.278371158904245
"E9Q9A9",-1.45280728406689,1.12171949493584,0.0014677994593621,0.281672038593443
"ENSMUST00000198239.2",-1.07074842882083,1.29879521993956,0.00150785153557656,0.286774513922467
"ENSMUST00000180921.2",-1.08418196875584,1.33417316223133,0.00157446764386342,0.29606774346737
"Q9CQW9",-0.976661837757568,4.48060798248644,0.00158451353247642,0.29606774346737
