"","logFC","logCPM","PValue","FDR"
"Q8C767",1.86151242097541,8.55870340721198,5.87747652341144e-12,5.92505190966819e-08
"Q62264",2.98633607029094,7.25979704404976,9.53961022326226e-12,5.92505190966819e-08
"ENSMUST00000184437.3",3.84722489927761,7.81353340733172,1.69894121286905e-08,7.0347492487531e-05
"Q99LE2",-1.50082020080627,7.88410260218256,8.40162499676567e-07,0.0023686758459962
"ENSMUST00000193092.2",3.70626580918765,2.5530836712682,9.53419677184108e-07,0.0023686758459962
"Q08501",1.67744943695175,5.7968479861112,1.92055671764918e-06,0.00397619259110636
"ENSMUST00000201558.2",-2.32233598409831,3.39313590486718,6.6588427167572e-06,0.0118165920325083
"E9Q9S3",1.34842574801096,4.80133724699651,9.88493135831797e-06,0.0153488271666282
"ENSMUST00000146928.2",-3.08771246439488,2.7516861926012,1.9040016596243e-05,0.0255129365379268
"Q920L5",1.34434788068702,6.76414391980304,2.15454251346098e-05,0.0255129365379268
"ENSMUST00000123601.2",-2.84055159970379,1.02574006432316,2.4367904242518e-05,0.0255129365379268
"P19096",1.94700841705332,4.13252449708958,2.46462114357689e-05,0.0255129365379268
"Q9R092",-1.08178539518961,7.53525047056929,4.4226986869978e-05,0.0365220705210066
"ENSMUST00000244381.1",-2.2635384635382,1.58630994867476,4.8227498545022e-05,0.0365220705210066
"ENSMUST00000210546.2",-1.91334610976005,0.955472736801297,5.10873702577566e-05,0.0365220705210066
"Q61699",2.02537989087912,2.26638046849618,5.16567705320904e-05,0.0365220705210066
"Q8BXQ3",1.59755569967091,3.96792126167003,5.2181324269241e-05,0.0365220705210066
"ENSMUST00000147868.2",-1.45331772270265,3.15978226815091,5.29220149233713e-05,0.0365220705210066
"B5TVM2",1.70148859998223,7.11306194491037,6.2468765057635e-05,0.0404317340758985
"E9QNZ9",1.98119430412448,2.42915918124552,6.50969796746072e-05,0.0404317340758985
"Q925Q3",-1.28511587276053,5.84408976714131,7.72871913128169e-05,0.0450091465820398
"Q544F9",2.50846782157811,5.72389198806773,7.97135102885909e-05,0.0450091465820398
"Q7TQD5",-1.06411746809866,8.91274599773496,0.000115340002569287,0.0617547636024796
"ENSMUST00000197310.2",-1.89380226928174,1.19711994938816,0.000119313663376229,0.0617547636024796
"ENSMUST00000040608.5",-2.92289742288773,0.513832364845168,0.000129128442763451,0.0619757548425077
"ENSMUST00000219340.2",-2.48909617622507,2.44155656598398,0.000133486565107337,0.0619757548425077
"O70220",-1.77502305244299,5.59284376078864,0.000134708209688271,0.0619757548425077
"Q6P4T0",-1.39099866039027,3.35436266131106,0.000151081386324983,0.0670261778903193
"P20029",1.32996617345813,9.89839437791185,0.000163837302226492,0.0701788609743962
"A0A0R4J0U3",1.64733962974235,4.98883987420986,0.00018721968483795,0.077521430835234
"A0A0R4J0E9",-1.43550636624326,4.40519176408494,0.000233198013088093,0.0910290757639023
"Q9JKV7",3.16524143504185,2.79384028334649,0.000234497699601101,0.0910290757639023
"Q6W8Q3",3.0152463147692,2.54529884330345,0.000249416862401721,0.0938865534773993
"Q9CR58",-1.38653069200054,5.26910456077386,0.00026622053055883,0.0960216216316417
"Q62395",-2.04918622046075,5.13405941565293,0.000273653190825975,0.0960216216316417
"Q8QZW3",1.94922876241576,2.2137628899845,0.000278278729571655,0.0960216216316417
"ENSMUST00000172146.2",-1.11164293836751,6.14704125303871,0.000317962427197174,0.106156387714047
"ENSMUST00000185464.3",1.994371849906,3.02325898117007,0.00032958191819649,0.106156387714047
"ENSMUST00000123115.2",-1.96455514954699,3.21065360195241,0.000336480381882943,0.106156387714047
"Q9D2R0",1.5872857527111,6.0064853154945,0.000341833481610197,0.106156387714047
"Q7TSE6",0.971831820164034,5.05499873723995,0.000465373128691899,0.140996707429531
"P31532",1.30097049350433,9.05909527979618,0.000488625356711844,0.14451676621606
"P47877",-1.10081465000053,7.9655367525621,0.000555250413265568,0.157001400303027
"A2AEV7",-1.61485691724828,2.62535894629551,0.000556115087210852,0.157001400303027
"A2AH52",-1.77178930036789,1.23253477394253,0.000589663566479234,0.16277335161789
"P43883",-1.52554688003611,4.11526999553374,0.000617249301513905,0.165935135327802
"ENSMUST00000205406.2",2.51086884224754,9.97070537090247,0.000636647972209392,0.165935135327802
"ENSMUST00000162186.2",-1.49885951368047,2.53508458198475,0.000644382889569352,0.165935135327802
"P62509",2.93250859765711,2.37299646487424,0.000662897058444045,0.165935135327802
"Q9R0S0",-2.01497107443037,1.44186652306941,0.000667908289034784,0.165935135327802
"Q8R2P1",1.05301447761056,3.6849861151987,0.00069673053042936,0.169701698999873
"Q8CE08",1.14561460914426,4.83080246343842,0.000711552191336406,0.169978871553478
"Q3UZE4",-1.82791456541311,0.662245237658339,0.000752451976537098,0.176082944781385
"ENSMUST00000187574.2",-1.6719449338705,2.33427377396123,0.000772457358636116,0.176082944781385
"Q9JK62",0.934334386003401,5.58349583007734,0.000779629847285155,0.176082944781385
"Q8CBR6",2.45033063198784,6.88694834357886,0.000812716552221319,0.180277946637379
"ENSMUST00000246479.1",-1.37409195219769,3.31070200681478,0.000840948765522337,0.182233226654143
"Q9JIW5",-0.953332015245997,5.4749605606479,0.000850871610524897,0.182233226654143
"Q8CC96",-1.63217091733836,1.18152242405964,0.000903371655268146,0.187021584797433
"ENSMUST00000246410.1",-1.9236422615614,0.959716927437847,0.000909986692983921,0.187021584797433
"A0A452J8F8",1.76391315427503,0.679373719218769,0.000918396125635436,0.187021584797433
"ENSMUST00000089534.6",-1.92927418493664,2.44230113005779,0.000953999266519184,0.191138369172602
"ENSMUST00000182524.2",-1.95681188701517,0.44228171349252,0.000987323360414105,0.194675091794667
"ENSMUST00000206822.2",-2.02645497482831,1.325223872895,0.00103035710532944,0.199985874412536
