"","logFC","logCPM","PValue","FDR"
"P12790",-8.18466270443907,5.97744416346072,2.90271439575835e-11,2.99538121586504e-07
"ENSMUST00000184437.3",-3.23266153296449,7.80921555685267,6.12063669432968e-11,2.99538121586504e-07
"Q91WH2",3.88329048535285,3.73427934835794,7.56482324861359e-11,2.99538121586504e-07
"Q9CXI3",7.47972838432154,4.41430753020287,1.0012974146298e-10,2.99538121586504e-07
"Q8K4K2",-2.67664634661656,3.10753126364343,3.43228999219874e-10,8.21415640933002e-07
"ENSMUST00000123115.2",2.31200987859062,3.42310644137963,5.03354046959164e-10,1.00385575431889e-06
"Q9JJY3",-3.04802049426359,4.28560104552724,6.70966962825567e-10,1.11948787766166e-06
"ENSMUST00000241069.1",2.47367961661011,1.63764658326353,7.48445848344751e-10,1.11948787766166e-06
"Q62395",3.05275349976799,5.92451786551707,3.49744981483813e-09,4.65005383159479e-06
"Q3UN27",-3.86811357380213,1.82738172402062,4.35007672131943e-09,5.20530180473083e-06
"ENSMUST00000211428.2",-1.19405785204311,5.40035152940863,5.94522808786315e-09,6.46732720903368e-06
"Q9QXW9",-1.43133536019552,4.74130841838765,6.66706405743521e-09,6.64817404260581e-06
"E9Q6M5",-6.76477336041651,4.55231729961242,1.40566414293936e-08,1.21311819562684e-05
"V9GWT9",3.26818862734076,0.308678816873579,1.41932598518935e-08,1.21311819562684e-05
"ENSMUST00000219340.2",2.19956199733519,2.12089687125951,2.61048018722072e-08,2.08246706135221e-05
"Q9R0S0",2.7958329633914,1.97011486853137,3.64829269667006e-08,2.72846690052212e-05
"ENSMUST00000168632.2",-2.97092028581286,0.812623078322998,3.93243110251399e-08,2.76796885721661e-05
"Q9QYC3",-3.82306929725336,2.42529393326685,6.3991590113489e-08,4.25401870721116e-05
"Q8BXQ3",-1.7615519361058,3.86512619682872,8.5047455373815e-08,5.35619921580563e-05
"ENSMUST00000208892.2",-1.78257587194933,2.93607547380257,9.46338088150776e-08,5.66194078140609e-05
"Q9JLC6",-1.27886235690433,6.54040751261368,1.30667372833415e-07,7.44555134916498e-05
"Q9QWK4",-1.31645596420341,9.15262173631261,1.44618369984178e-07,7.86592461468486e-05
"Q7TQG7",-2.69161088628358,1.81568543221212,1.55118039261921e-07,8.07018459916588e-05
"Q8BWU8",1.94755062476786,7.46454286770936,1.72480275808588e-07,8.59957908468986e-05
"ENSMUST00000040608.5",2.9132505179623,0.424568878478577,2.41228237115204e-07,0.000115461483412821
"A0A0R4J072",-2.09252110256801,2.64169181494038,3.87925173916517e-07,0.000178535101195579
"B8JKU4",3.53571960825109,1.24027555342093,4.23847047017942e-07,0.000187842732022841
"Q9D7D2",3.19246915498762,1.43122687967799,4.88508980421191e-07,0.000204189225616154
"J3JRU4",-5.67535033482215,5.23378776874695,4.94859396863486e-07,0.000204189225616154
"Q3UHE3",-1.52202867047633,4.65890003835793,6.27620458740287e-07,0.000250336880309543
"Q3U1E8",-4.7636845785915,6.71388162461581,7.44558773527734e-07,0.000287399686581705
"Q5SSJ1",-1.59125505604839,5.98155522695243,8.22734349483253e-07,0.000307651225809894
"Q8VC49",-1.95109593295446,4.89684248833173,8.95166087328187e-07,0.000324592648514215
"Q9R194",-1.15497975858164,5.63264741266297,9.7532909231206e-07,0.000343258468194297
"O88307",-1.64968035846954,4.38581172328457,1.14740970786035e-06,0.000392282987550197
"Q8K1T1",-1.76044871470506,3.5453840282342,1.32588692880047e-06,0.000440710083056291
"Q80WM4",-1.27286568079245,5.16542170801334,1.81975929732279e-06,0.000587144709007283
"Q3UPR0",-3.16326885537005,1.50670074479508,1.86457453971893e-06,0.000587144709007283
"ENSMUST00000152720.2",-4.91743311547819,3.30159454127506,2.01323490354552e-06,0.000617701765533992
"P42703",1.63931342240888,9.36565355353238,2.20472686055801e-06,0.000659544040335928
"F6TUL9",-1.09527628805089,6.2820269985017,2.26141688298269e-06,0.000660002790774898
"Q8R4V1",-1.58368939403252,3.22710767832552,2.4011175166671e-06,0.000684089814391394
"Q7TN08",-1.1686399783043,4.70527864968701,2.63951258596748e-06,0.000734521107062484
"P84086",-1.66256716916745,2.46832342136794,2.75628868675326e-06,0.000734526902660991
"Q9WV19",-2.83648600736089,1.1473159963162,2.76230240846938e-06,0.000734526902660991
"E9Q8T7",-3.10593731009511,1.94283682709038,3.08092344300099e-06,0.000801441954759779
"F8VQI4",-1.79762966255098,2.4834420981171,3.19891338635438e-06,0.000814429735768436
"Q60991",1.7164340763407,8.89812825698775,3.7701774559269e-06,0.000939873821617111
"A0A0R4J0I1",1.43326325092426,13.848541647811,4.797392826921e-06,0.00117154290952932
