"","logFC","logCPM","PValue","FDR"
"P12790",-8.27423809442348,5.98126208685273,1.55596859473762e-11,1.24287519729398e-07
"P29621",2.51754950491671,2.91676529647635,2.09927404322943e-11,1.24287519729398e-07
"Q9CXI3",7.5861358175298,4.42750207123178,6.01869514615714e-11,2.37557897418822e-07
"ENSMUST00000241069.1",2.62496854761534,1.61224649766744,2.24088814982127e-10,6.10576813332439e-07
"Q8K4K2",-2.66300491683841,3.1267477231053,2.57823162457748e-10,6.10576813332439e-07
"Q9JJY3",-3.05543718057598,4.26243703188486,6.15473254135937e-10,1.21463646703727e-06
"Q9R0S0",3.23029566859153,1.65326179688913,1.26350788089675e-09,2.13731383109977e-06
"ENSMUST00000123115.2",2.34778433928022,3.43183490810019,1.87620078014487e-09,2.77701167971193e-06
"Q9QXW9",-1.48756119044767,4.72782947742667,2.49353258751187e-09,3.28065770763645e-06
"Q62395",3.06205248137992,5.88108563661905,5.17932124938307e-09,6.1328342913945e-06
"Q3UN27",-3.76651864260138,1.83965137371049,8.44845975546024e-09,9.09438290585498e-06
"E9Q6M5",-6.67181140879858,4.55718242339453,1.28881097360294e-08,1.2717342282027e-05
"Q91WH2",4.20143106895748,3.67470251759341,1.70554118323168e-08,1.55348562697279e-05
"V9GWT9",3.36288882699107,0.317800154045155,2.3595472196654e-08,1.99567133057558e-05
"ENSMUST00000211428.2",-1.16208602443265,5.28520413937609,4.23278563518294e-08,3.28117572122548e-05
"ENSMUST00000168632.2",-3.0542805174515,0.790700144596315,4.4336467814887e-08,3.28117572122548e-05
"ENSMUST00000144738.2",2.78937551618522,1.59275302549122,7.50514148098559e-08,5.22755178096178e-05
"ENSMUST00000184437.3",-2.77207765268148,7.45361919757798,8.4368795262045e-08,5.55006058165486e-05
"Q7TQG7",-2.78690457200744,1.85053398480498,1.0029249731237e-07,6.25033400355669e-05
"Q9QWK4",-1.31260537050709,9.0565804905303,1.23732485642613e-07,7.32558181247093e-05
"ENSMUST00000219340.2",2.10094125986509,2.01652688242387,2.03698497624039e-07,0.000113263837089001
"Q9D7D2",3.52494811293494,1.39989932296873,2.20092308995241e-07,0.000113263837089001
"Q8BWU8",1.95374317715982,7.46851240105917,2.20276946898048e-07,0.000113263837089001
"Q9QYC3",-3.88939536660904,2.38983004214669,2.32291270125404e-07,0.000113263837089001
"B8JKU4",3.53976244568604,1.25855232916489,2.39134864219662e-07,0.000113263837089001
"J3JRU4",-6.2170075078736,5.19433754751976,2.5464597552297e-07,0.00011597165369875
"ENSMUST00000208892.2",-1.73730552156785,2.92619486653276,2.93624642898069e-07,0.000127364739807501
"A0A0R4J072",-2.20081611865493,2.65079991094117,3.08033593350958e-07,0.000127364739807501
"ENSMUST00000165968.2",3.30056655813012,4.80155814273827,3.1193120973039e-07,0.000127364739807501
"Q9JLC6",-1.25405447824561,6.52129424456073,3.42294059558581e-07,0.000135103465307772
"ENSMUST00000142909.2",2.85123914711043,0.34945718418619,4.30099488203231e-07,0.000164284130316596
"Q3U1E8",-4.76007656299212,6.7030711655773,6.55398338170237e-07,0.000242517866321055
"Q8BXQ3",-1.69055971408143,3.84273085518383,6.88700896247962e-07,0.000247118403408246
"Q9R194",-1.14418754218772,5.61266029198158,8.10720931369124e-07,0.000282345486715935
"O88307",-1.67003645202951,4.3765437586289,9.06062671821933e-07,0.000306533945629814
"Q5SSJ1",-1.57280309986423,5.96157688480435,1.06505068600108e-06,0.000341666842654695
"Q8K1T1",-1.68273808902362,3.50226202260603,1.06761871279653e-06,0.000341666842654695
"Q3UHE3",-1.4795978768618,4.64705043601626,1.52202689032908e-06,0.000474271589694384
