"","logFC","logCPM","PValue","FDR"
"ENSMUST00000123117.2",-1.58000031534987,3.55529266171859,4.96155121851e-12,9.6050670039135e-08
"Q3TXX4",-1.69062754078849,4.53292871610211,6.00307093045366e-09,5.0690408931704e-05
"P32299",-1.45565987138135,2.47115097230107,7.85532448964884e-09,5.0690408931704e-05
"O55188",-1.27878427934836,4.306272324988,3.62747817384588e-07,0.00175560874918706
"Q91Y82",-1.39490258340725,2.60073709016499,7.50680654141658e-07,0.00290648535670567
"D3Z079",-1.29346509005722,2.12445674702331,1.66812510216422e-06,0.00538220564213287
"P01027",-2.04869930143553,2.26424316409876,2.73050351686314e-06,0.0075514025118505
"Q80U78",-1.3070749003842,2.5192110944302,4.21640922086075e-06,0.0102031832633304
"P01029",-1.4515847857138,6.33837656802915,5.47332033412321e-06,0.0106823784750269
"Q91XL1",-1.29760596154383,1.71985263934188,5.51804249962648e-06,0.0106823784750269
"A0A494BAD9",-1.65570276040644,0.791296642749912,6.86809356340873e-06,0.0120872202994572
"Q9QXH4",-2.12463949985455,0.324616153789006,1.29611656448668e-05,0.0209096004765814
"G3X8T9",-1.35393294778721,5.27135907614909,1.4840781592404e-05,0.0221002069882577
"Q149C3",-1.36203543675349,2.16653788739478,1.8452877265736e-05,0.0255163750705273
"A2A8R0",-1.21861124646628,1.84081898276748,3.01500544651415e-05,0.0389116602927116
"A8DUK4",1.54170403164263,5.07582711709126,3.47090557060371e-05,0.0419957880883233
"Q99P91",-1.43379929366218,0.882141700353502,3.98337599480935e-05,0.0453404787394545
"Q9CXP8",1.4638444980893,3.63563937255501,4.2157581347703e-05,0.0453404787394545
"ENSMUST00000149527.2",-1.66673863049109,1.1579214675906,5.12393762960052e-05,0.0514690663084352
"ENSMUST00000208263.2",1.71993887760984,1.23274985485045,5.31732695990859e-05,0.0514690663084352
"Q8VD53",-1.2774712048657,5.08436284303538,6.48437299301977e-05,0.0578916578003711
"A0A1D5RLK9",-1.67857648792189,0.724598941634895,6.83631874836789e-05,0.0578916578003711
"Q8C8C1",-1.77701950490554,1.08188513567033,6.87797990293164e-05,0.0578916578003711
"Q91VU8",-1.02319622800513,3.03780774349937,7.55866872612061e-05,0.0603878768170334
"ENSMUST00000221429.2",1.52687047559769,3.23559028423608,7.79842409435319e-05,0.0603878768170334
"D3YV17",-1.63223351201558,0.568042487790798,8.68664259184389e-05,0.0646787361290407
"ENSMUST00000187855.2",-1.51559532384845,1.04988124694691,9.42797558187435e-05,0.0675985849220391
"ENSMUST00000225910.2",1.12903359834358,4.07294354286987,0.000101095083237784,0.0680464274922144
"ENSMUST00000196922.2",-1.25090695660733,1.2937480655063,0.000105295860096765,0.0680464274922144
"B2RQX9",-2.88343259755237,2.86063471705395,0.000105449291015364,0.0680464274922144
"ENSMUST00000196827.2",1.7126248591176,0.461466000986775,0.000141055900594159,0.0880871348258811
"Q3UVX5",-1.14314165512223,1.82295002099189,0.000150729519183976,0.0886131169007313
"P52187",-1.65565438167299,0.648388910334624,0.000151052887944839,0.0886131169007313
"ENSMUST00000249322.1",1.18426592644475,2.15927959097833,0.000164288028999491,0.089333831745298
"ENSMUST00000142292.8",-1.024074443149,2.7687179214876,0.000164316568389372,0.089333831745298
"D6RI59",1.30438999828319,1.83705296943317,0.000166125210126077,0.089333831745298
"O35608",-1.32809887549942,1.90669353680649,0.000174303341560389,0.090773156023802
"ENSMUST00000223609.2",-1.06892013113204,3.70886989529548,0.000181280928172031,0.090773156023802
"ENSMUST00000140330.2",1.7109566083638,1.76437607786647,0.000185318024327395,0.090773156023802
"ENSMUST00000199279.2",1.47711190153727,1.69284942741994,0.000190727090532058,0.090773156023802
"M0QWC9",1.04730218806896,2.63592564746645,0.000192246469186212,0.090773156023802
"E9Q3K3",-0.997564203343431,3.04591872669547,0.000215867013494783,0.0994992741487023
"Q91Y12",-1.33728448973859,1.1673741584232,0.000225112279368908,0.101347642239597
"ENSMUST00000212336.2",1.45360074200587,0.83134049129601,0.000252768845046918,0.105806526582743
"E9Q5G2",-1.12184915896347,5.20418839131022,0.000257204329773266,0.105806526582743
"ENSMUST00000139298.2",1.53799633737031,0.689518456928071,0.000273906312119426,0.105806526582743
"Q9Z103",-1.4823418275885,0.924186041314173,0.00027406668607536,0.105806526582743
"G3UW46",1.03533221364558,1.78086650281961,0.000276431238482472,0.105806526582743
"ENSMUST00000203367.2",-1.94639592066348,0.318412832850059,0.000278947186901628,0.105806526582743
"ENSMUST00000050139.5",-0.980670185906369,2.20202130952598,0.000280511300016588,0.105806526582743
"Q91V14",-1.31623101875,1.23708644629408,0.000281013768064154,0.105806526582743
"ENSMUST00000117527.2",1.5538414715513,2.29866862216819,0.000289784822850046,0.105806526582743
"ENSMUST00000128545.3",-0.829568670336146,3.28750590836728,0.000297655060250484,0.105806526582743
"Q08642",-0.770071256959234,6.19661625262639,0.000312475708842628,0.105806526582743
"ENSMUST00000150069.3",1.18230534940329,1.70193354162216,0.000318358058598472,0.105806526582743
"P17879",-1.1977719523031,2.73260772778022,0.00031927098790649,0.105806526582743
"ENSMUST00000236663.2",1.41966372470835,1.09361235150667,0.000321095116772557,0.105806526582743
"Q8VD73",-0.933117370329208,4.46402572306363,0.000322290151918832,0.105806526582743
"Q9ERK0",-1.11639106594614,1.57992572244835,0.000322464232056504,0.105806526582743
"ENSMUST00000166606.3",-0.908715525408403,3.77161640949776,0.000329775927575369,0.106402203032193
"ENSMUST00000202900.2",1.24808744702729,2.0354013029906,0.000350355957008714,0.109414840624526
"Q60772",1.22800915312463,2.35548561810549,0.000350416866507598,0.109414840624526
"ENSMUST00000193015.2",-1.10228536284182,3.62825069428185,0.000363258493326847,0.111624145592293
"ENSMUST00000215678.2",1.57077328320717,1.046276792695,0.000392908385959946,0.117150531159212
"ENSMUST00000190491.2",-1.40642973049016,2.227942959039,0.000393345964427335,0.117150531159212
"ENSMUST00000142276.2",1.14888738431099,1.52746735377983,0.000401033478991652,0.117630410906051
"Q91XZ6",-1.40923925838086,2.90444293643295,0.00041024798324892,0.118388504211711
"ENSMUST00000125693.8",0.902095411662437,2.85120174699536,0.000415848870623292,0.118388504211711
"ENSMUST00000091090.5",1.50875332879137,1.47704231762673,0.000429182897415357,0.12041379291397
"B2RVA4",1.63347651326399,1.78817068057449,0.000445150096386404,0.123109438799206
"Q91VE5",-1.01354229675399,3.15871982829004,0.000480269308407079,0.128702166091499
"Q8CJF7",-0.87629827953375,5.099726582598,0.000482937665190705,0.128702166091499
"ENSMUST00000233314.3",1.27228140010253,2.09916064953356,0.000496100845887163,0.128702166091499
"ENSMUST00000223513.2",1.06999329088891,1.66389265779123,0.000505289714705211,0.128702166091499
"Q9CQE5",0.963043441170765,2.52854808522683,0.000513870348831285,0.128702166091499
"ENSMUST00000159255.2",1.64253390691709,0.874106785452148,0.000519972386400942,0.128702166091499
"D3Z0V7",-1.44184241993863,1.49629403056537,0.000525342480815384,0.128702166091499
"ENSMUST00000127966.8",1.17920235015567,1.97334884279934,0.000531669616318724,0.128702166091499
"P29268",-1.27928088199953,2.4268899550519,0.000534904328254654,0.128702166091499
"ENSMUST00000149371.2",0.960591332256251,1.71698989027551,0.00053839795639907,0.128702166091499
"ENSMUST00000224009.2",-1.2648009210676,1.94942078726891,0.000542150339293968,0.128702166091499
"G3XA00",-1.6505335478537,0.80786968179976,0.000546952745726089,0.128702166091499
"ENSMUST00000122170.2",1.09839376437444,1.46154832768433,0.000551799152104674,0.128702166091499
