"","logFC","logCPM","PValue","FDR"
"Q9QXH4",-3.20912909365291,1.17777248736998,6.00140484609134e-11,1.24547154770934e-06
"P01029",-2.27132259774185,7.02171615488272,7.37031233149995e-10,5.91505930120884e-06
"G3X8T9",-2.17082605540153,5.94231276392484,8.55065672607648e-10,5.91505930120884e-06
"ENSMUST00000195589.6",-2.27619288845796,2.60008781694076,7.63735021854961e-09,3.38541219160318e-05
"Q99P91",-2.32773247243881,1.5651902683525,9.06182964593376e-09,3.38541219160318e-05
"Q99N08",-1.79106277831011,1.42156143201887,9.7877285932728e-09,3.38541219160318e-05
"G3X8Y8",-1.35993975830538,2.81926462009707,1.04687497457078e-07,0.000282500351974335
"Q9Z0I6",-1.37464853742313,3.06782062115596,1.08900053765464e-07,0.000282500351974335
"O89098",-3.24990551358244,1.33880507453697,1.6424389796487e-07,0.000378728179384994
"O55188",-1.35892647170138,4.40233318091216,8.83733894409923e-07,0.00183401295106891
"ENSMUST00000113886.3",-1.7683933794252,2.79941041747157,1.03152965467648e-06,0.00194612135668191
"ENSMUST00000178343.2",-1.47835401030991,6.09582022873715,1.50969319136552e-06,0.00261088856670072
"P03995",-1.48820796791862,9.638389489436,1.86223958080178e-06,0.00297285061695226
"Q8BRK9",-1.79918868968848,1.17381006361893,2.03017672804195e-06,0.00300944697407532
"P01027",-2.3530645203874,2.5707556896567,2.41082548498474e-06,0.00333545741932589
"H3BIY2",-1.94911201204773,1.02269579852686,2.58875234159225e-06,0.0033577735840665
"Q3TXX4",-1.54463817268541,4.46784459108565,2.78499978288166e-06,0.00339982944083194
"Q64282",-1.34220654437778,3.72245446959958,3.02659772585013e-06,0.00348305163207934
"ENSMUST00000194486.2",-1.71140703710236,1.59884600812495,3.18883925261444e-06,0.00348305163207934
"Q61093",-1.94109152617502,2.79163524442469,3.41540838525518e-06,0.00354399851096003
"Q9ERK0",-1.49755939125672,1.8790314347634,3.72031526191691e-06,0.00367655726812198
"Q61635",-2.00524881074392,1.54617048817161,3.92508196138553e-06,0.00370260117930154
"Q9Z0F5",-1.61811883156355,1.44388517961353,6.58031306678158e-06,0.00593744509021383
"ENSMUST00000133492.2",-1.7737591673627,1.38640121289105,1.02298367596529e-05,0.00869554112940932
"ENSMUST00000173669.2",-2.20088839874979,1.05574815308047,1.04750411138261e-05,0.00869554112940932
"Q9WTV6",-1.41727148428997,1.4944280659784,1.23025813982241e-05,0.00933438265929531
"Q91VU8",-1.29752064946069,3.25594257174845,1.24351592665463e-05,0.00933438265929531
"Q91Y82",-1.38144930722037,2.62601510503715,1.25939726526415e-05,0.00933438265929531
"Q9EP66",-2.42008410409393,0.173889919050716,1.31024607282652e-05,0.00937639198254095
"P0DOV2",-1.61976338355253,1.39487604191748,1.81038055476839e-05,0.0125236092177028
"Q5U4D4",-1.4999564285556,1.12179739117024,1.96339424111673e-05,0.012941735500007
"Q91ZE5",-2.09167786933884,0.651797394346858,1.99554539584747e-05,0.012941735500007
"ENSMUST00000123117.2",-1.22791078480688,3.34658483046543,2.20496931690457e-05,0.0138665843132486
"ENSMUST00000202926.2",-1.16622915689561,2.02252010708618,2.2882104017712e-05,0.0139668324905758
"ENSMUST00020182536.1",1.71711056133731,1.0740180646465,2.49273540886079e-05,0.0147804965543109
"A0A0B4J1E6",-1.48572934216273,1.05475148064669,2.70208188461514e-05,0.015576751486505
"ENSMUST00000186665.7",1.24639477291762,1.82731945733781,3.91708160887553e-05,0.0211586691333141
"Q8C8C1",-2.49952855782964,1.64218002984109,3.94671418185067e-05,0.0211586691333141
"Q5QNW0",-1.89199134889198,0.942451184639073,3.97623522478317e-05,0.0211586691333141
"ENSMUST00000184437.3",-1.54656948998184,3.69523459814468,4.38820147883841e-05,0.0227670863225834
"ENSMUST00000134066.8",1.40813115097691,0.916092833726581,4.75318720727336e-05,0.0240592424664742
"E9Q3K3",-1.14273624782817,3.18171802508377,5.51822073395486e-05,0.0272665797361346
"G3X8V6",-1.34220555759745,2.28079341727923,5.79383850635764e-05,0.0279626815168466
"P08905",-1.20361773197444,5.92102269867819,6.00570413857717e-05,0.0283264495427027
"A0A0R4J0Y2",-1.61670468921022,0.596567143535751,6.53885257929382e-05,0.0301557350173522
"P32299",-1.42627520023262,2.4984511994413,6.90693387850389e-05,0.0311607823436068
"Q9QZ85",-1.89196897922813,4.00419007577117,7.66469428247633e-05,0.0338437022221769
"Q811B5",-1.02072825397896,3.02256596634029,8.1704092201555e-05,0.0353251046970598
"Q5SSF7",-1.13703255285858,3.76804806804061,8.82209885746383e-05,0.0373642893038667
"ENSMUST00000233162.2",-1.7516059749485,1.13330758220892,0.000106032388749523,0.0440098032743769
"Q9D035",-1.63291004147062,0.514044059796518,0.000121152694951579,0.0492996446731397
"ENSMUST00000191135.2",-1.56048375506356,0.624118241609528,0.00012871445376749,0.0513694434430137
"Q60766",-1.12254308543157,5.01747370074997,0.000137062361109465,0.0536689656623534
"E9QN37",-0.996815749552156,6.84924938537652,0.000155610964992272,0.059147955427145
"Q8C253",-1.79617271563274,1.58559116280505,0.000157902783320439,0.059147955427145
"P97297",-1.24840813563053,2.18894077601326,0.000159824686039817,0.059147955427145
"ENSMUST00000217981.2",1.18974255420762,1.68224921203255,0.00016245523342877,0.059147955427145
"Q3UED7",-2.09212576558827,1.8107758883972,0.0002161147284602,0.0773280855126644
"ENSMUST00000203367.2",-2.46942431867316,0.708795667069815,0.000234483631023647,0.0813028387674554
"Q925G2",-1.07583434268044,2.67257809523146,0.000235058561463274,0.0813028387674554
"Q9D3P9",1.33251425534804,4.75528373442106,0.00023965326132127,0.0815331824950873
"P47936",-1.72518854065237,0.42219893584613,0.000260545042319592,0.087211149407395
"A2A8R0",-1.0731989610546,1.78625802376054,0.000265265866632687,0.0873819449242563
"ENSMUST00000210140.2",-1.24128623830649,1.52581915568989,0.000275592318981872,0.089365115559856
"Q544C5",-1.76913299420591,0.643296350516177,0.000316226312929746,0.10096376418817
"A0A494BAD9",-1.61097397010845,0.798368250487696,0.000369031061025164,0.115714285527365
"Q8K2F3",-1.71685831101983,1.92293167529172,0.000376475011557845,0.115714285527365
"ENSMUST00000209242.2",1.23374748005808,0.862896694575702,0.000379153443639994,0.115714285527365
"Q9Z0E6",-1.76304749946547,3.74504304066011,0.000390531363131286,0.117459382305269
"P53566",-1.123193832586,1.61022099068289,0.00042447802595354,0.125845606751626
"P48754",1.08044178344727,1.73931151046783,0.000438348857613333,0.128127518902106
"Q64345",-0.97506685984939,4.48986582875384,0.000497725606363872,0.143462493178742
"Q5U7A4",-0.92214033273757,3.31564299945532,0.000519927805249928,0.147809064963723
"Q61107",-1.36225545103945,4.3807073061536,0.000535385292063875,0.150099094062828
"Q8R2Q8",-1.04430077445917,1.98651065480635,0.000542448419732671,0.150099094062828
"Q3U8M7",-1.26190127518322,3.14571638609066,0.00058208772459052,0.158948244058251
"ENSMUST00000130794.2",-1.39564286458908,0.843986558182434,0.000599225876098632,0.161503046839934
"E9Q9A9",-1.51306319558242,1.15460234944042,0.000656560196522804,0.174687099467151
"Q9CQC7",1.36202067193536,1.0415172161688,0.000667232261930677,0.175279381415789
"Q2EMV9",-1.15041028009524,3.93924163566003,0.000701767872442902,0.182047358210094
"ENSMUST00000152360.2",-1.27353583638365,0.650914052678578,0.000721481199121546,0.184850608955178
"Q8BS35",-0.904594543923146,2.2469508824729,0.000733050796249368,0.185524428958087
"ENSMUST00000098653.3",-0.905212018866849,2.51550554316296,0.000757284969036057,0.189348614004883
"A0A494BBA3",-1.54791938081062,1.13378686729458,0.000792906702022968,0.195094960847308
"ENSMUST00000229410.2",-1.46314159138732,0.798095421755288,0.000799068648967434,0.195094960847308
"A0A0R4J1Z2",1.65525324066721,0.242612309741627,0.000843901584305011,0.203403072343641
"Q8VHX6",-1.28714008031218,3.15850037678049,0.000852699238370199,0.203403072343641
"P60322",-1.03677187449849,1.93999239837717,0.000880820002906411,0.206672831782816
"Q5XKE0",-1.05921433743425,1.69806447775576,0.00088632400273072,0.206672831782816
"ENSMUST00000180921.2",-1.12147701832531,1.35130691335514,0.000911066070820673,0.210081712974905
"ENSMUST00000180445.3",-1.49494516208485,0.355559990753994,0.00092301335273792,0.210497759443627
"ENSMUST00000135352.2",-1.04906261601535,1.05676208194525,0.000945681002197151,0.213323019984755
"ENSMUST00000227933.2",0.973213472649871,1.5188399283466,0.000979501040200379,0.215575082903438
